pais,pais_completo,political_structure,regiao,continente,data_nacional,diplomata_designado,diplomata_nome,diplomata_genero,diplomata_data_admissao,diplomata_residente,embaixada_em_brasilia,embaixada_endereco,email_contato_1,email_contato_2,note
Nigéria,República Federal da Nigéria,República,,,01/10,TRUE,Christopher John Nonyelum Okeke,homem,18/09/17,TRUE,TRUE,"SEN Avenida das Nações, Qd. 801, lote 5 - 70.800-918 – Brasília / DF",admin@nigerianembassy-brazil.org, social.sec@nigerianembassy-brazil.org,
Noruega,Reino da Noruega,Reino,,,17/05,TRUE,Nils Martin Gunneng,homem,30/08/17,TRUE,TRUE,SES Avenida das Nações quadra 807 lote 28 - 70.418-900 - Brasília / DF,emb.brasilia@mfa.no,,
Nova Zelândia,Nova Zelândia,FALSE,,,06/02,TRUE,Christopher John Langley,homem,11/06/18,TRUE,TRUE,SHIS QI 9 conjunto 16 casa 1 – Lago Sul - 71.625-160 – Brasília / DF,emb.novazelandia@gmail.com,,
Omã,Sultanato de Omã,Sultanato,,,18/11,TRUE,Amad Hamood Salim Al Abri,homem,14/02/17,TRUE,TRUE,SHIS QI 25 Conjunto 4 Casa 2 – Lago Sul - 71.660-200 - Brasília - DF,embaixada.oma@gmail.com,,
Ordem Soberana e Militar de Malta,Ordem Soberana e Militar de Malta,FALSE,,,24/06,TRUE,Bernard Camille Paul Mencier,homem,16/11/11,TRUE,TRUE,Avenida W3 Norte quadra 507 bloco C - 70.740-535 - Brasília / DF,osmm@terra.com.br,,
Países Baixos (Holanda),Reino dos Países Baixos,Reino,,,27/04,TRUE,Cornelis van Rij,homem,17/08/18,TRUE,TRUE,SES Avenida das Nações quadra 801 lote 5 - 70.405-900 - Brasília / DF,bra@minbuza.nl,,
Palau,República de Palau,República,,,01/10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Palestina,Estado da Palestina,Estado,,,15/11,TRUE,Ibrahim Mohamed Khalil Alzeben,homem,30/04/08,TRUE,TRUE,SEN – Setor de Embaixadas Norte Lote 46 - CEP: 70. 800-400 – Brasília / DF,embaixadapalestina@terra.com.br,,
Panamá,República do Panamá,República ,,,03/11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SES Avenida das Nações quadra 803 lote 9 - 70.200-030 - Brasília / DF,secretaria@panaembabrasil.com.br,,
Papua Nova Guiné,Estado Independente da Papua Nova Guiné,Estado,,,16/09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Paquistão,República Islâmica do Paquistão,República Islâmica,,,23/05,TRUE,Najm us Saqib,homem,13/05/17,TRUE,TRUE,SHIS QI 15 conjunto 8 casa 1 – Lago Sul - 71.635-280 - Brasília - DF,pakccsp@yahoo.com,,
Paraguai,República do Paraguai,República,,,15/05,TRUE,Juan Ángel Delgadillo,homem,18/09/19,TRUE,TRUE,SES Avenida das Nações quadra 811 lote 42 - 70.427-900 - Brasília / DF,secretaria@embaparaguai.org.br,,
Peru,República do Peru,República,,,28/07,TRUE,Javier Raul Martin Yépez Verdeguer,homem,01/04/19,TRUE,TRUE,SES Avenida das Nações quadra 811 lote 43 - 70.428-900 - Brasília / DF,embperu@embperu.org.br,,
Polônia,República da Polônia,República,,,03/05,TRUE,Jakub Tadeus Skiba,homem,03/03/2020,TRUE,TRUE,SES Avenida das Nações Quadra 809 lote 33 - 70.423-900 - Brasília / DF,brasilia.embaixada@msz.gov.pl,,
Portugal,República Portuguesa,República,,,10/06,TRUE,Jorge Tito Vasconcelos Nogueira Dias Cabral,homem,12/09/16,TRUE,TRUE,SES Avenida das Nações quadra 801 lote 2 - 70.402-900 - Brasília / DF,embaixadadeportugal@embport.org.br,,
Quênia,República do Quênia,República,,,12/12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SHIS QL 10 conjunto 8 casa 8 - Lago Sul - 71.630-085 - Brasília – DF,info@kenyaembassybrasilia.com,kirimik@me.com,
Quirguistão,República Quirguiz,República,,,31/08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Reino Unido,Reino Unido da Grã-Bretanha e Irlanda do Norte,Reino,,,FALSE,TRUE,Francis Vijay Narasimhan Rangarajan,homem,02/06/17,TRUE,TRUE,SES Avenida das Nações quadra 801 conjunto K lote 8 - 70.408-900 - Brasília / DF,press.brasilia@fco.gov.uk,,o dia em que é comemorado o aniversário da Rainha. Esse dia muda a cada ano.
Rep. Centro-Africana,República Centro-Africana,República,,,01/12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Rep. Dominicana,República Dominicana,República,,,27/02,TRUE,Alejandro Arias Zarzuela,homem,13/04/15,TRUE,TRUE,SHIS QL 6 conjunto 7 casa 2 – Lago Sul - 71.620-075 - Brasília / DF,embaixada@republicadominicana.org.br,,
Rep. Tcheca,República Tcheca,República,Europa Central,Europa,28/10,TRUE,Sandra Lang Linkensederová,mulher,29/05/18,TRUE,TRUE,"SES Quadra 805 Via L3 Sul, Lote 21 A, Asa Sul - 70200-901 - Brasília / DF",brasilia@embassy.mzv.cz ,embaixadatcheca@gmail.com,
Romênia,Romênia,FALSE,,,01/12,TRUE,Stefan Mera,homem,29/09/16,TRUE,TRUE,"SEN Avenida das Nações lote 6, quadra 801 - 70.800-917 - Brasília / DF",brasilia@mae.ro,,
Ruanda,República de Ruanda,República,,,01/07,TRUE,James Kimonyo,homem,05/05/10,FALSE,FALSE,FALSE,FALSE,,
Rússia,Federação da Rússia,Federação,,,12/06,TRUE,Sergey Pogóssovitch Akopov,homem,24/03/10,TRUE,TRUE,SES Avenida das Nações quadra 801 lote A - 70.476-900 - Brasília / DF,embassy.brasil@mid.ru,,
Samoa,Estado Independente de Samoa,Estado,,,01/06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
San Marino,República de San Marino,República,,,03/09,TRUE,Filippo Francini,homem,17/06/13,FALSE,FALSE,FALSE,ffrancini@hotmail.com,,
Santa Lúcia,Santa Lúcia,FALSE,,,22/02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Santa Sé/Vaticano,Santa Sé / Estado da Cidade do Vaticano,Estado,,,13/03,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SES Avenida das Nações quadra 801 lote 1 - 70.401-900 - Brasília / DF,nunapost@solar.com.br,,
São Cristóvão e Névis,"Federação de São Cristóvão e Névis
",Federação,,,19/09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
São Tomé e Príncipe,República Democrática de São Tomé e Príncipe,República,,,12/07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
São Vicente e Granadinas,São Vicente e Granadinas,FALSE,,,27/10,TRUE,Andreas Wickham,homem,06/05/15,FALSE,FALSE,FALSE,embasvgven@gmail.com,,
Seicheles,República das Seicheles,República,África Oriental,África,29/06,TRUE,Marie-Louise Potter,mulher,21/02/14,FALSE,FALSE,FALSE,FALSE,,
Senegal,República do Senegal,República,África Ocidental,África,04/04,TRUE,Fatoumata Binetou Rassoul Correa,mulher,11/11/16,TRUE,TRUE,SEN Avenida das Nações lote 18 - 70.800-400 – Brasília / DF,senebrasilia@senebrasilia.org.br,,
Serra Leoa,República da Serra Leoa,República,,,27/04,TRUE,Bockari Kortu Stevens,homem,18/08/09,FALSE,FALSE,FALSE,FALSE,,
Sérvia,República da Sérvia,República,,,15/02,TRUE,Veljko Lazic,homem,18/08/14,TRUE,TRUE,SES Avenida das Nações quadra 803 lote 15 - 70.409-900 - Brasília / DF,embaixadaservia@terra.com.br,,
Singapura,República de Singapura,República,,,09/08,TRUE,Sam Goi Seng Hui,homem,05/09/18,TRUE,TRUE,SHIS QL 24 conjunto 3 casa 11 - Lago Sul - 71.665-035 - Brasília / DF,singemb_bsb@mfa.sg,,
Síria,República Árabe da Síria,República Árabe,,,17/04,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SEN Avenida das Nações lote 11 - 70.434-900 - Brasília / DF,embsiria@uol.com.br,,
Somália,República Democrática da Somália,República,,,01/07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Sri Lanka,República Democrática Socialista do Sri Lanka,República,,,04/02,TRUE,Musthafa Mohamed Jaffeer,homem,31/08/18,TRUE,TRUE,"SHIS QI 26 conjunto 11, casa 18 - Brasília / DF - CEP: 71.670-110",lankaemb.br@gmail.com,slemb.brasilia@mfa.gov.lk,
Eswatini (Suazilândia),Reino de Eswatini,Reino,,,06/09,TRUE,Abednego Ntshangase,homem,20/06/12,FALSE,FALSE,FALSE,FALSE,,
Sudão,República do Sudão,República,,,01/01,TRUE,Abdelmoniem Ahmed Alamin Alhussain,homem,29/08/17,TRUE,TRUE,SHIS QI 11 conjunto 5 casa 13 - Lago Sul - 71.625-250 - Brasilia / DF,sudaninbrasilia@gmail.com,sudaninbrazil@gmail.com,
Sudão do Sul,República do Sudão do Sul,República,,,09/07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Suécia,Reino da Suécia,Reino,Europa do Norte,Europa,06/06,TRUE,Johanna Brismar Skoog,mulher,06/09/19,TRUE,TRUE,SES Avenida das Nações quadra 807 lote 29 - 70.419-900 - Brasília / DF,ambassaden.brasilia@gov.se,,
Suíça,Confederação Suíça,Confederação,,,01/08,TRUE,Andrea Semadeni,homem,30/10/17,TRUE,TRUE,SES Avenida das Nações quadra 811 lote 41 - CEP: 70.448-900 - Brasília / DF,brasilia@eda.admin.ch,,
Suriname,República do Suriname,República,,,25/11,TRUE,Marlon Faisal Mohamed-Hoesein,homem,21/01/11,TRUE,TRUE,SHIS QI 09 conjunto 08 casa 24 – Lago Sul - 71.625-080 - Brasília / DF,surinameemb@terra.com.br,,
Tajiquistão,República do Tajiquistão,República,,,09/09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Tailândia,Reino da Tailândia,Reino,Sudeste Asiático,Ásia,05/12,TRUE,Nitivadee Manitkul,mulher,18/12/19,TRUE,TRUE,SEN Avenida das Nações lote 10 - 70.800-912 - Brasília / DF,thaiemb@mfa.go.th,thaiembbrazil@gmail.com,
Tanzânia,República Unida da Tanzânia,República,,,26/04,TRUE,Emmanuel John Nchimbi,homem,16/02/17,TRUE,TRUE,SHIS QI 09 conjunto 16 casa 20 – Lago Sul - 71.615-190 - Brasília / DF,tanrepbrasilia@yahoo.com.br,,
Timor-Leste,República Democrática de Timor-Leste,República,,,28/11,TRUE,Olímpio Maria Alves Gomes Miranda Branco,homem,01/10/2019,TRUE,TRUE,SHIS QL 02 conjunto 01 casa 08 – Lago Sul - 71.610-015 - Brasília / DF,embaixadatl.brasil@gmail.com,,
Togo,República Togolesa,República,,,27/04,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"SHIS QI 11 conjunto 09, casa 10 - Lago Sul - CEP: 71.600-000 - Brasília/DF",ambastogo.bresil@yahoo.com ,,
Tonga,Reino de Tonga,Reino,,,04/11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Trinidad e Tobago,República de Trinidad e Tobago,República,,,31/08,TRUE,Amery Arthur Browne,homem,14/06/16,TRUE,TRUE,SHIS QL 2 conjunto 2 casa 1 – Lago Sul - 71.665-028 - Brasília / DF,trinbagoemb@gmail.com,,
Tunísia,República da Tunísia,República,,,20/03,TRUE,Mohamed Hedi Soltani,homem,09/01/17,TRUE,TRUE,SHIS QL 06 - Conjunto 05 - Casa 12 – Lago Sul - 71.620-055 - Brasília / DF,tn.brasilia@gmail.com,tn.adm.brasilia@gmail.com,
Turcomenistão,Turcomenistão,FALSE,Ásia Central,Ásia,27/10,TRUE,Aksoltan Atayeva,mulher,14/05/12,FALSE,FALSE,FALSE,turkmenistan@un.int,,
Turquia,República da Turquia,República,,,20/09,TRUE,Murat Yavuz Ates,homem,22/01/19,TRUE,TRUE,"SES Avenida das Nações, Quadra 805, Lote 23 - 70.452-900 - Brasília / DF",embassy.brasilia@mfa.gov.tr,,
Tuvalu,Tuvalu,FALSE,,,01/10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Ucrânia,Ucrânia,FALSE,,,24/08,TRUE,Rostyslav Volodymyrovytch Tronenko,homem,23/04/12,TRUE,TRUE,SHIS QI 5 conjunto 4 casa 2 – Lago Sul - 71.615-040 - Brasília / DF,emb_br@mfa.gov.ua,,
Uganda,República de Uganda,República,,,09/10,TRUE,Perezi K. Kamunanwire,homem,17/05/07,FALSE,FALSE,FALSE,FALSE,,
União Europeia,Delegação da União Europeia,Outros,,,09/05,TRUE,Ignacio Ybáñez Rubio,homem,17/07/19,TRUE,TRUE,SHIS QI 7 Bloco A - Lago Sul - 71.615-710 - Brasília - DF,delegation-brazil@eeas.europa.eu,,
Uruguai,República Oriental do Uruguai,República,,,25/08,TRUE,Gustavo Vanerio Balbela,homem,26/09/17,TRUE,TRUE,SES Avenida das Nações quadra 803 lote 14 - 70.450-900 – Brasília / DF,urubras@emburuguai.org.br,,
Uzbequistão,República do Uzbequistão,República,,,01/09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,embassy@uzbekistan.org,,
Vanuatu,República de Vanuatu,República,,,30/07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Venezuela,República Bolivariana da Venezuela,República,América do Sul,América,05/07,TRUE,Sra. María Teresa Belandria Expósito,mulher,11/02/19,TRUE,TRUE,SES Avenida das Nações quadra 803 lote 13 - 70.415-900 – Brasília / DF,embajadaveenbr@gmail.com,,
Vietnã,República Socialista do Vietnã,República,Sudeste Asiático,Ásia,02/09,TRUE,Pham Thi Kim,mulher,15/06/20,TRUE,TRUE,SHIS QI 9 conjunto 10 casa 1 – Lago Sul - 71.625-100 – Brasília / DF,embavina@yahoo.com,embavina@uol.com.br,
Zâmbia,República da Zâmbia,República,África Austral,África,24/09,TRUE,Alfreda Chilekwa Kansembe Mwamba,mulher,19/12/17,TRUE,TRUE,SHIS QL 10 conj 10 casa 17 - 71.630-105 - Brasília / DF,zambiansbrasil@embaixadazambia.org.br,,
Zimbábue,República do Zimbábue,República,,,18/04,TRUE,Gumisai Gideon Gapare,homem,02/09/19,TRUE,TRUE,SHIS QI 3 conj 10 casa 13 - 71.605-300 - Brasília / DF,zimbrasilia@uol.com.br,,
